15, 2555, REZ, REQUESON ORDENA (PRO) 43, 43, 0.5
15, 2555, BEY242, BEBER YOPLAIT 220ML, 8.5, 6
15, 2555, BEY242N, BEBER YOPLAIT 242 ML NATURAL , 10, 6
15, 2555, GEIAFP, GELATINA AGUA FRUTA PICADA IMPERIAL, 10.5, 5
15, 2555, GEIL, GELATINA MOSAICO IMPERIAL VASO CHICO, 10.5, 5
15, 2555, MAE90, MANTEQUILLA EUGENIA 90GR BARRITA, 14.5, 4
15, 2555, SAPZC1, SALCHICHA PAVO CAPIS 1KG (PRO), 62, 1
15, 2555, CRIO, CREMA IMPERIAL ORO, 59, 1
15, 2555, JAVPCAP, JAMON VIRGINIA PAVO CAPIS (PRO), 111, 0.5
15, 2555, QUMA, QUESO MANCHEGO ACOMODADO (PRO), 149, 0.5
14, 2202, MAD90, MARGARINA DELICIA 90GR BARRITA, 7.5, 2
8, 757, CRL4, CREMA LALA 4L CUBETA  (PRO), 219, 1
19, 3400, YOY4, YOGURT YOPLAIT 4KG CUBETA , 110, 2
15, 2549, QUPC, QUESO PANELA IMPERIAL CUADRADA 1KG 69, 69, 1.275
15, 2549, ADR710, ADEREZO RANCH CLEMENTE 710GR, 75, 3
15, 2549, VIBAG, VINAGRE BLANCO ASTRA GALON 5LT, 49, 1
15, 2549, CH3, CHAMPINON CHAMPIMEX 3KG, 140, 1
7, 568, CUMK, CUERITOS MEXICANO 1KG, 23, 5
7, 568, SAPR2, SALCHICHA PAVO ROS 2.5KG, 117, 1
7, 568, SAV3, SALCHICHA VIVA 3KG, 113, 2
7, 568, PABS, PAN BIMBOLLO SUPER 12PZ GRANDE, 66, 2
8, 913, CRL4, CREMA LALA 4L CUBETA  (PRO), 219, 6
7, 495, YOK, YOGURT YOPLAIT 1KG, 29.5, 1
7, 495, LEEC360, LECHE EVAPORADA CLAVEL 360GR, 19.5, 1
16, 2655, ARRI, ARRACHERA MARINADA IMPERIAL, 84, 5
16, 2655, YA, YAKULT PIEZAS, 6.6, 2
16, 2655, CRCCHORRO, CREMA IMPERIAL              , 44, 1
16, 2820, QUN1, QUESO PARA NACHOS SABINO 1KG, 24, 1
16, 2820, SASM3, SALCHICHA SAN MILLAN 3KG, 101, 2
16, 2820, CAT4, CATSUP TITA 4.5KG, 89, 1
16, 2820, CRCCHORRO, CREMA IMPERIAL              , 44, 1
15, 2269, QUAM, ADOBERA FUNDIR MOY 1/4KG 142, 35.5, 3.94
15, 2269, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105, 105, 0.965
15, 2269, CHN, CHULETA NAYAR 91, 91, 1.15
15, 2269, QU, QUESO PANELA IMPERIAL 69, 45, 1
15, 2269, JPA, JAMON PIERNA ANDALUCIA, 89, 2
5, 6, QUOSC, QUESO OAXACA IMPERIAL ORO 1KG 122, 122, 1
